Date,Time,Open,High,Low,Close,Volume
2022/8/2,08:46:00,14767,14778,14738,14745,2609
2022/8/2,08:47:00,14747,14750,14740,14743,804
2022/8/2,08:48:00,14743,14743,14730,14734,810
2022/8/2,08:49:00,14733,14741,14732,14737,502
2022/8/2,08:50:00,14737,14739,14730,14731,419
2022/8/2,08:51:00,14731,14731,14717,14720,1029
2022/8/2,08:52:00,14720,14725,14718,14725,303
2022/8/2,08:53:00,14723,14725,14711,14714,598
2022/8/2,08:54:00,14713,14718,14711,14718,368
2022/8/2,08:55:00,14717,14725,14717,14724,356
2022/8/2,08:56:00,14724,14725,14704,14707,988
2022/8/2,08:57:00,14705,14712,14702,14707,534
2022/8/2,08:58:00,14707,14713,14706,14712,259
2022/8/2,08:59:00,14712,14714,14708,14709,198
2022/8/2,09:00:00,14709,14715,14708,14711,256
2022/8/2,09:01:00,14713,14713,14682,14693,2568
2022/8/2,09:02:00,14694,14718,14689,14717,1331
2022/8/2,09:03:00,14716,14724,14710,14723,1036
2022/8/2,09:04:00,14723,14724,14707,14711,851
2022/8/2,09:05:00,14710,14710,14694,14696,829
2022/8/2,09:06:00,14698,14702,14678,14681,1514
2022/8/2,09:07:00,14680,14687,14674,14681,1056
2022/8/2,09:08:00,14681,14692,14675,14677,646
2022/8/2,09:09:00,14676,14677,14667,14670,948
2022/8/2,09:10:00,14671,14688,14668,14688,636
2022/8/2,09:11:00,14688,14688,14666,14672,675
2022/8/2,09:12:00,14672,14678,14664,14669,686
2022/8/2,09:13:00,14670,14686,14667,14685,426
2022/8/2,09:14:00,14684,14694,14680,14684,629
2022/8/2,09:15:00,14683,14686,14670,14672,536
2022/8/2,09:16:00,14673,14686,14669,14678,720
2022/8/2,09:17:00,14678,14685,14673,14676,308
2022/8/2,09:18:00,14676,14680,14670,14674,375
2022/8/2,09:19:00,14675,14687,14673,14683,464
2022/8/2,09:20:00,14685,14713,14682,14707,1239
2022/8/2,09:21:00,14708,14722,14707,14711,1101
2022/8/2,09:22:00,14710,14711,14686,14695,968
2022/8/2,09:23:00,14694,14695,14684,14689,604
2022/8/2,09:24:00,14690,14709,14690,14694,447
2022/8/2,09:25:00,14694,14694,14680,14687,508
2022/8/2,09:26:00,14687,14695,14684,14691,243
2022/8/2,09:27:00,14690,14693,14684,14687,236
2022/8/2,09:28:00,14686,14690,14654,14659,1907
2022/8/2,09:29:00,14658,14672,14654,14661,782
2022/8/2,09:30:00,14662,14671,14658,14670,367
2022/8/2,09:31:00,14668,14668,14657,14664,529
2022/8/2,09:32:00,14664,14665,14656,14656,426
2022/8/2,09:33:00,14656,14664,14656,14657,325
2022/8/2,09:34:00,14656,14656,14650,14652,1008
2022/8/2,09:35:00,14651,14651,14632,14633,1260
2022/8/2,09:36:00,14634,14640,14630,14633,875
2022/8/2,09:37:00,14634,14638,14623,14626,752
2022/8/2,09:38:00,14626,14626,14616,14617,720
2022/8/2,09:39:00,14616,14623,14614,14615,628
2022/8/2,09:40:00,14616,14616,14603,14603,997
2022/8/2,09:41:00,14603,14625,14600,14625,1451
2022/8/2,09:42:00,14623,14625,14611,14618,650
2022/8/2,09:43:00,14617,14618,14608,14609,534
2022/8/2,09:44:00,14610,14615,14604,14607,477
2022/8/2,09:45:00,14605,14612,14598,14602,720
2022/8/2,09:46:00,14604,14615,14601,14612,1065
2022/8/2,09:47:00,14613,14614,14600,14611,382
2022/8/2,09:48:00,14610,14615,14603,14603,426
2022/8/2,09:49:00,14603,14609,14589,14593,982
2022/8/2,09:50:00,14593,14606,14591,14602,436
2022/8/2,09:51:00,14603,14613,14600,14613,473
2022/8/2,09:52:00,14613,14617,14608,14613,459
2022/8/2,09:53:00,14613,14626,14611,14624,661
2022/8/2,09:54:00,14624,14630,14620,14629,604
2022/8/2,09:55:00,14629,14637,14626,14630,731
2022/8/2,09:56:00,14631,14631,14617,14619,586
2022/8/2,09:57:00,14619,14625,14618,14622,270
2022/8/2,09:58:00,14621,14624,14615,14619,289
2022/8/2,09:59:00,14620,14627,14609,14610,483
2022/8/2,10:00:00,14609,14625,14609,14622,545
2022/8/2,10:01:00,14624,14642,14614,14633,1411
2022/8/2,10:02:00,14633,14639,14629,14639,387
2022/8/2,10:03:00,14639,14640,14625,14627,359
2022/8/2,10:04:00,14626,14641,14625,14638,259
2022/8/2,10:05:00,14637,14647,14635,14644,523
2022/8/2,10:06:00,14643,14650,14640,14649,560
2022/8/2,10:07:00,14649,14650,14638,14638,427
2022/8/2,10:08:00,14638,14641,14635,14636,261
2022/8/2,10:09:00,14637,14644,14636,14639,278
2022/8/2,10:10:00,14637,14644,14636,14642,172
2022/8/2,10:11:00,14641,14643,14634,14636,222
2022/8/2,10:12:00,14636,14642,14634,14640,147
2022/8/2,10:13:00,14641,14645,14639,14639,181
2022/8/2,10:14:00,14639,14640,14633,14635,203
2022/8/2,10:15:00,14635,14636,14627,14628,290
2022/8/2,10:16:00,14629,14631,14621,14622,381
